Test number::label,Number of iterations::number,Disagreement::number
1,19,0.0029
2,1,0.0
3,2,0.0
4,381,0.0153
5,124,0.0047
6,129,0.0155
7,47,0.0342
8,1,0.0
9,16,0.0231
10,23,0.0321
11,749,0.0071
12,37,0.0303
13,29,0.0142
14,245,0.0121
15,13,0.0156
16,4,0.0067
17,115,0.0349
18,91,0.02
19,834,0.0173
20,132,0.0061
21,1,0.0
22,17,0.0149
23,22,0.0287
24,59,0.007
25,1,0.0
26,41,0.0288
27,18,0.0184
28,2,0.0
29,125,0.0071
30,127,0.014
31,520,0.0051
32,67,0.0281
33,1,0.0
34,25,0.0063
35,26,0.0048
36,185,0.0062
37,2,0.0
38,1,0.0
39,75,0.0222
40,265,0.0118
41,1,0.0
42,1,0.0
43,101,0.0064
44,331,0.0129
45,2,0.0
46,202,0.0047
47,1,0.0
48,103,0.0077
49,2,0.0
50,169,0.0082
51,260,0.0373
52,1,0.0
53,20,0.0055
54,34,0.0401
55,24,0.0085
56,114,0.0093
57,87,0.0054
58,2,0.0
59,69,0.0177
60,76,0.009
61,218,0.0063
62,1,0.0
63,310,0.0056
64,64,0.0228
65,89,0.0257
66,21,0.0115
67,147,0.0228
68,607,0.0095
69,34,0.0324
70,70,0.0264
71,1,0.0
72,2364,0.0105
73,20,0.0174
74,2,0.0
75,2,0.0
76,139,0.0149
77,2,0.0
78,73,0.0154
79,72,0.0143
80,53,0.0066
81,37,0.0021
82,1,0.0004
83,2,0.0
84,2,0.0
85,56,0.0158
86,91,0.0076
87,26,0.0094
88,9,0.0416
89,44,0.002
90,21,0.0185
91,11,0.0029
92,1,0.0
93,2,0.0
94,12,0.0068
95,40,0.0047
96,659,0.0128
97,59,0.0028
98,135,0.0112
99,22,0.0072
100,2,0.0
101,1,0.0002
102,107,0.0049
103,26,0.0116
104,2,0.0
105,2,0.0
106,205,0.0022
107,70,0.0041
108,27,0.0035
109,9,0.0363
110,36,0.0089
111,1,0.0
112,59,0.0134
113,1,0.0
114,100,0.0311
115,2,0.0483
116,1,0.0
117,56,0.0128
118,17,0.0109
119,440,0.0124
120,52,0.0131
121,18,0.0085
122,46,0.0153
123,11,0.008
124,104,0.0349
125,143,0.0093
126,64,0.0153
127,225,0.018
128,69,0.0036
129,25,0.0367
130,273,0.0037
131,42,0.0157
132,323,0.0121
133,11,0.0179
134,90,0.0088
135,180,0.0062
136,13,0.0435
137,82,0.0043
138,1,0.0
139,37,0.0181
140,2,0.0
141,2,0.0
142,258,0.0135
143,1,0.0
144,2,0.0
145,243,0.004
146,48,0.0258
147,50,0.006
148,39,0.0164
149,40,0.0259
150,1,0.0
151,89,0.0047
152,112,0.0062
153,57,0.007
154,172,0.0244
155,201,0.0074
156,21,0.0139
157,2,0.0
158,1,0.0011
159,1,0.0
160,25,0.0122
161,476,0.0037
162,2,0.0
163,119,0.008
164,559,0.0118
165,272,0.0034
166,2,0.0
167,1,0.0
168,161,0.0026
169,134,0.0101
170,21,0.005
171,2,0.0
172,305,0.0026
173,1,0.0
174,124,0.0054
175,20,0.0094
176,347,0.0163
177,35,0.0311
178,1,0.0
179,30,0.0085
180,83,0.013
181,29,0.0101
182,235,0.0088
183,219,0.0168
184,59,0.0074
185,43,0.0159
186,69,0.0152
187,46,0.0228
188,2,0.0
189,1,0.0
190,52,0.0063
191,2,0.0
192,2,0.0
193,2,0.0
194,307,0.0147
195,362,0.0102
196,40,0.0084
197,80,0.0194
198,1,0.0
199,40,0.0339
200,42,0.0146
201,511,0.0052
202,1,0.0
203,4,0.0108
204,11,0.0265
205,31,0.0003
206,3,0.0208
207,33,0.0332
208,1,0.0
209,1,0.0
210,1,0.0
211,25,0.0053
212,3434,0.038
213,652,0.0085
214,29,0.0113
215,36,0.0221
216,165,0.0195
217,131,0.0126
218,73,0.0186
219,665,0.0168
220,25,0.0386
221,1,0.0
222,1,0.0
223,43,0.0144
224,36,0.0332
225,129,0.012
226,1,0.0
227,2,0.0
228,1,0.0
229,1,0.0
230,32,0.012
231,1,0.0
232,1,0.0
233,2,0.0
234,73,0.0376
235,1,0.0
236,2,0.0
237,266,0.0062
238,84,0.012
239,8,0.0133
240,2,0.0
241,2,0.0
242,1,0.0
243,25,0.0219
244,1,0.0027
245,482,0.0077
246,2,0.0
247,1,0.0
248,17,0.0161
249,3739,0.0146
250,154,0.0231
251,1,0.0
252,100,0.0054
253,78,0.0043
254,1,0.0
255,2,0.0
256,61,0.0033
257,31,0.0338
258,186,0.0258
259,80,0.0165
260,2,0.0
261,2,0.0
262,50,0.0096
263,58,0.0184
264,67,0.011
265,1,0.0
266,2,0.0
267,5,0.009
268,2,0.0
269,25,0.012
270,2,0.0
271,1,0.0
272,38,0.049
273,58,0.0022
274,1,0.0014
275,127,0.0058
276,60,0.0121
277,1,0.0
278,379,0.0036
279,1,0.0026
280,101,0.0083
281,139,0.0151
282,33,0.0011
283,247,0.0052
284,2,0.0214
285,51,0.0166
286,72,0.0109
287,235,0.0351
288,847,0.0025
289,1,0.0
290,60,0.0223
291,722,0.0033
292,213,0.0097
293,51,0.0032
294,36,0.0058
295,174,0.0113
296,22,0.0057
297,45,0.0371
298,32,0.0215
299,39,0.0261
300,181,0.0005
301,64,0.0017
302,1,0.0167
303,27,0.0067
304,276,0.0062
305,84,0.0013
306,255,0.0295
307,50,0.0153
308,91,0.0203
309,103,0.0222
310,88,0.0056
311,2,0.0
312,1,0.0
313,205,0.0217
314,285,0.0169
315,46,0.0381
316,103,0.0286
317,1,0.0
318,25,0.0434
319,81,0.0137
320,1,0.0047
321,68,0.0122
322,14,0.0144
323,142,0.0057
324,48,0.0031
325,7,0.0137
326,45,0.0097
327,27,0.0096
328,61,0.0091
329,2,0.0
330,23,0.0074
331,82,0.0293
332,1,0.0
333,511,0.0168
334,1,0.0001
335,46,0.0042
336,36,0.0288
337,71,0.0021
338,10,0.0356
339,1,0.007
